keyLength        |encrypt(ms)      |decrypt(ms)      |
1024             |0.611000         |0.090000         |
1024             |0.575000         |0.086000         |
1024             |0.576000         |0.085000         |
1024             |0.570000         |0.091000         |
1024             |0.619000         |0.087000         |
1024             |0.580000         |0.093000         |
1024             |0.573000         |0.085000         |
1024             |0.750000         |0.086000         |
1024             |0.619000         |0.085000         |
2048             |1.204000         |0.405000         |
2048             |1.160000         |0.417000         |
2048             |1.231000         |0.411000         |
2048             |1.252000         |0.419000         |
2048             |1.222000         |0.414000         |
2048             |1.199000         |0.423000         |
2048             |1.292000         |0.421000         |
2048             |1.185000         |0.414000         |
2048             |1.160000         |0.401000         |
2048             |1.164000         |0.400000         |
2048             |1.167000         |0.400000         |
2048             |1.201000         |0.408000         |
2048             |1.166000         |0.402000         |
2048             |1.183000         |0.397000         |
2048             |1.181000         |0.410000         |
2048             |1.207000         |0.413000         |
2048             |1.177000         |0.399000         |
2048             |1.221000         |0.408000         |
2048             |1.175000         |0.402000         |
2048             |1.179000         |0.401000         |
2048             |1.199000         |0.393000         |
2048             |1.179000         |0.400000         |
2048             |1.188000         |0.426000         |
2048             |1.192000         |0.401000         |
2048             |1.186000         |0.403000         |
2048             |1.179000         |0.404000         |
2048             |1.180000         |0.403000         |
2048             |1.174000         |0.403000         |
2048             |1.177000         |0.402000         |
2048             |1.174000         |0.410000         |
2048             |1.176000         |0.411000         |
2048             |1.183000         |0.426000         |
2048             |1.190000         |0.403000         |
2048             |1.215000         |0.423000         |
2048             |1.258000         |0.414000         |
2048             |1.198000         |0.401000         |
2048             |1.188000         |0.405000         |
2048             |1.191000         |0.452000         |
2048             |1.243000         |0.432000         |
2048             |1.237000         |0.423000         |
2048             |1.228000         |0.403000         |
2048             |1.226000         |0.419000         |
2048             |1.202000         |0.420000         |
2048             |1.202000         |0.403000         |
2048             |1.197000         |0.409000         |
2048             |1.211000         |0.417000         |
2048             |1.240000         |0.406000         |
2048             |1.255000         |0.403000         |
2048             |1.203000         |0.407000         |
2048             |1.222000         |0.430000         |
2048             |1.234000         |0.407000         |
2048             |1.195000         |0.404000         |
2048             |1.151000         |0.406000         |
2048             |1.181000         |0.400000         |
2048             |1.196000         |0.401000         |
2048             |1.168000         |0.402000         |
2048             |1.173000         |0.414000         |
2048             |1.212000         |0.406000         |
2048             |1.189000         |0.424000         |
2048             |1.187000         |0.397000         |
2048             |1.168000         |0.404000         |
2048             |1.161000         |0.394000         |
2048             |1.205000         |0.407000         |
2048             |1.164000         |0.395000         |
2048             |1.146000         |0.390000         |
2048             |1.133000         |0.394000         |
2048             |1.174000         |0.397000         |
2048             |1.163000         |0.400000         |
2048             |1.158000         |0.390000         |
